Country,GDP,Phones,percent_literate
Afghanistan ,700,3.2,36
Albania ,4500,71.2,86.5
Algeria ,6000,78.1,70
American Samoa ,8000,259.5,97
Andorra ,19000,497.2,100
Angola ,1900,7.8,42
Anguilla ,8600,460,95
Antigua & Barbuda ,11000,549.9,89
Argentina ,11200,220.4,97.1
Armenia ,3500,195.7,98.6
Aruba ,28000,516.1,97
Australia ,29000,565.5,100
Austria ,30000,452.2,98
Azerbaijan ,3400,137.1,97
"Bahamas, The ",16700,460.6,95.6
Bahrain ,16900,281.3,89.1
Bangladesh ,1900,7.3,43.1
Barbados ,15700,481.9,97.4
Belarus ,6100,319.1,99.6
Belgium ,29100,462.6,98
Belize ,4900,115.7,94.1
Benin ,1100,9.7,40.9
Bermuda ,36000,851.4,98
Bhutan ,1300,14.3,42.2
Bolivia ,2400,71.9,87.2
Bosnia & Herzegovina ,6100,215.4,
Botswana ,9000,80.5,79.8
Brazil ,7600,225.3,86.4
British Virgin Is. ,16000,506.5,97.8
Brunei ,18600,237.2,93.9
Bulgaria ,7600,336.3,98.6
Burkina Faso ,1100,7,26.6
Burma ,1800,10.1,85.3
Burundi ,600,3.4,51.6
Cambodia ,1900,2.6,69.4
Cameroon ,1800,5.7,79
Canada ,29800,552.2,97
Cape Verde ,1400,169.6,76.6
Cayman Islands ,35000,836.3,98
Central African Rep. ,1100,2.3,51
Chad ,1200,1.3,47.5
Chile ,9900,213,96.2
China ,5000,266.7,90.9
Colombia ,6300,176.2,92.5
Comoros ,700,24.5,56.5
"Congo, Dem. Rep. ",700,0.2,65.5
"Congo, Repub. of the ",700,3.7,83.8
Cook Islands ,5000,289.9,95
Costa Rica ,9100,340.7,96
Cote d'Ivoire ,1400,14.6,50.9
Croatia ,10600,420.4,98.5
Cuba ,2900,74.7,97
Cyprus ,19200,,97.6
Czech Republic ,15700,314.3,99.9
Denmark ,31100,614.6,100
Djibouti ,1300,22.8,67.9
Dominica ,5400,304.8,94
Dominican Republic ,6000,97.4,84.7
East Timor ,500,,58.6
Ecuador ,3300,125.6,92.5
Egypt ,4000,131.8,57.7
El Salvador ,4800,142.4,80.2
Equatorial Guinea ,2700,18.5,85.7
Eritrea ,700,7.9,58.6
Estonia ,12300,333.8,99.8
Ethiopia ,700,8.2,42.7
Faroe Islands ,22000,503.8,
Fiji ,5800,112.6,93.7
Finland ,27400,405.3,100
France ,27600,586.4,99
French Guiana ,8300,255.6,83
French Polynesia ,17500,194.5,98
Gabon ,5500,27.4,63.2
"Gambia, The ",1700,26.8,40.1
Gaza Strip ,600,244.3,
Georgia ,2500,146.6,99
Germany ,27600,667.9,99
Ghana ,2200,14.4,74.8
Gibraltar ,17500,877.7,
Greece ,20000,589.7,97.5
Greenland ,20000,448.9,
Grenada ,5000,364.5,98
Guadeloupe ,8000,463.8,90
Guam ,21000,492,99
Guatemala ,4100,92.1,70.6
Guernsey ,20000,842.4,
Guinea ,2100,2.7,35.9
Guinea-Bissau ,800,7.4,42.4
Guyana ,4000,143.5,98.8
Haiti ,1600,16.9,52.9
Honduras ,2600,67.5,76.2
Hong Kong ,28800,546.7,93.5
Hungary ,13900,336.2,99.4
Iceland ,30900,647.7,99.9
India ,2900,45.4,59.5
Indonesia ,3200,52,87.9
Iran ,7000,276.4,79.4
Iraq ,1500,38.6,40.4
Ireland ,29600,500.5,98
Isle of Man ,21000,676,
Israel ,19800,462.3,95.4
Italy ,26700,430.9,98.6
Jamaica ,3900,124,87.9
Japan ,28200,461.2,99
Jersey ,24800,811.3,
Jordan ,4300,104.5,91.3
Kazakhstan ,6300,164.1,98.4
Kenya ,1000,8.1,85.1
Kiribati ,800,42.7,
"Korea, North ",1300,42.4,99
"Korea, South ",17800,486.1,97.9
Kuwait ,19000,211,83.5
Kyrgyzstan ,1600,84,97
Laos ,1700,14.1,66.4
Latvia ,10200,321.4,99.8
Lebanon ,4800,255.6,87.4
Lesotho ,3000,23.7,84.8
Liberia ,1000,2.3,57.5
Libya ,6400,127.1,82.6
Liechtenstein ,25000,585.5,100
Lithuania ,11400,223.4,99.6
Luxembourg ,55100,515.4,100
Macau ,19400,384.9,94.5
Macedonia ,6700,260,
Madagascar ,800,3.6,68.9
Malawi ,600,7.9,62.7
Malaysia ,9000,179,88.7
Maldives ,3900,90,97.2
Mali ,900,6.4,46.4
Malta ,17700,505,92.8
Marshall Islands ,1600,91.2,93.7
Martinique ,14400,394.4,97.7
Mauritania ,1800,12.9,41.7
Mauritius ,11400,289.3,85.6
Mayotte ,2600,49.7,
Mexico ,9000,181.6,92.2
"Micronesia, Fed. St. ",2000,114.8,89
Moldova ,1800,208.1,99.1
Monaco ,27000,1035.6,99
Mongolia ,1800,55.1,97.8
Montserrat ,3400,,97
Morocco ,4000,40.4,51.7
Mozambique ,1200,3.5,47.8
Namibia ,7200,62.6,84
Nauru ,5000,143,
Nepal ,1400,15.9,45.2
Netherlands ,28600,460.8,99
Netherlands Antilles ,11400,365.3,96.7
New Caledonia ,15000,252.2,91
New Zealand ,21600,441.7,99
Nicaragua ,2300,39.7,67.5
Niger ,800,1.9,17.6
Nigeria ,900,9.3,68
N. Mariana Islands ,12500,254.7,97
Norway ,37800,461.7,100
Oman ,13100,85.5,75.8
Pakistan ,2100,31.8,45.7
Palau ,9000,325.6,92
Panama ,6300,137.9,92.6
Papua New Guinea ,2200,10.9,64.6
Paraguay ,4700,49.2,94
Peru ,5100,79.5,90.9
Philippines ,4600,38.4,92.6
Poland ,11100,306.3,99.8
Portugal ,18000,399.2,93.3
Puerto Rico ,16800,283.1,94.1
Qatar ,21500,232,82.5
Reunion ,5800,380.9,88.9
Romania ,7000,196.9,98.4
Russia ,8900,280.6,99.6
Rwanda ,1300,2.7,70.4
Saint Helena ,2500,293.3,97
Saint Kitts & Nevis ,8800,638.9,97
Saint Lucia ,5400,303.3,67
St Pierre & Miquelon ,6900,683.2,99
Saint Vincent and the Grenadines ,2900,190.9,96
Samoa ,5600,75.2,99.7
San Marino ,34600,704.3,96
Sao Tome & Principe ,1200,36.2,79.3
Saudi Arabia ,11800,140.6,78.8
Senegal ,1600,22.2,40.2
Serbia ,2200,285.8,93
Seychelles ,7800,262.4,58
Sierra Leone ,500,4,31.4
Singapore ,23700,411.4,92.5
Slovakia ,13300,220.1,
Slovenia ,19000,406.1,99.7
Solomon Islands ,1700,13.4,
Somalia ,500,11.3,37.8
South Africa ,10700,107,86.4
Spain ,22000,453.5,97.9
Sri Lanka ,3700,61.5,92.3
Sudan ,1900,16.3,61.1
Suriname ,4000,184.7,93
Swaziland ,4900,30.8,81.6
Sweden ,26800,715,99
Switzerland ,32700,680.9,99
Syria ,3300,153.8,76.9
Taiwan ,23400,591,96.1
Tajikistan ,1000,33.5,99.4
Tanzania ,600,4,78.2
Thailand ,7400,108.9,92.6
Togo ,1500,10.6,60.9
Tonga ,2200,97.7,98.5
Trinidad & Tobago ,9500,303.5,98.6
Tunisia ,6900,123.6,74.2
Turkey ,6700,269.5,86.5
Turkmenistan ,5800,74.6,98
Turks & Caicos Is ,9600,269.5,98
Tuvalu ,1100,59.3,
Uganda ,1400,3.6,69.9
Ukraine ,5400,259.9,99.7
United Arab Emirates ,23200,475.3,77.9
United Kingdom ,27700,543.5,99
United States ,37800,898,97
Uruguay ,12800,291.4,98
Uzbekistan ,1700,62.9,99.3
Vanuatu ,2900,32.6,53
Venezuela ,4800,140.1,93.4
Vietnam ,2500,187.7,90.3
Virgin Islands ,17200,652.8,
Wallis and Futuna ,3700,118.6,50
West Bank ,800,145.2,
Western Sahara ,,,
Yemen ,800,37.2,50.2
Zambia ,800,8.2,80.6
Zimbabwe ,1900,26.8,90.7
